,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
27,ru000a0zyl22 ,кчр 2017 ,10.85,47,119863,rub,500.0,sur,97.45,"97,39","97,59","97,57",15.79,,- ,- ,18.12.24,,"97,41","4,05",16.04.24,146,16.1437,145.0,123.0,112.0,16.04.24 18:39,8.68
28,ru000a0jxud9 ,коми 14 об ,11.28,26,110798,rub,500.0,sur,98.93,"98,84",99,"98,9",15.13,,- ,"14,2808",25.06.24,,"98,9","3,22",16.04.24,69,14.9493,68.0,27.0,27.0,16.04.24 18:39,9.02
29,ru000a1040s8 ,ульоб34004 ,11.9,47,109196,rub,500.0,sur,89.51,"89,3","89,79","89,75",15.76,,- ,- ,10.11.26,,"89,75","4,32",16.04.24,748,15.9061,748.0,182.0,175.0,16.04.24 18:39,9.52
30,ru000a106607 ,ульоб34005 ,26.43,32,102438,rub,1000.0,sur,92.29,"92,03","92,45","92,39",15.28,,- ,- ,26.04.28,,"92,39","23,81",16.04.24,737,15.3429,737.0,150.0,127.0,16.04.24 18:39,10.57
31,ru000a0jxvh8 ,тамбовобл3 ,5.24,19,102270,rub,250.0,sur,99.05,"98,76","99,59",99,13.4,,- ,"12,7605",12.07.24,,99,"0,23",16.04.24,86,13.1545,85.0,-142.0,-142.0,16.04.24 18:39,8.38
32,ru000a106ft0 ,башкорт23 ,23.31,25,98321,rub,1000.0,sur,91.89,"91,65","92,17","91,95",14.79,,- ,- ,30.06.26,,"91,95","3,59",16.04.24,668,14.832,668.0,76.0,72.0,16.04.24 18:39,9.32
33,ru000a102dq0 ,свердлоб10 ,5.78,9,95082,rub,400.0,sur,94.7,"94,69","94,9","94,7",16.03,,- ,- ,23.11.24,,"94,7","3,56",16.04.24,215,16.0348,215.0,151.0,150.0,16.04.24 18:39,5.78
34,ru000a102cr0 ,мособ35015 ,10.38,37,91691,rub,700.0,sur,89.11,"88,73","89,44",89,14.88,,- ,- ,10.11.26,,89,"7,19",16.04.24,517,14.7844,517.0,84.0,69.0,16.04.24 18:39,5.93
35,ru000a0jy031 ,мф марэл17 ,5.36,25,88762,rub,250.0,sur,98.08,"97,8","98,17","97,91",15.75,,- ,- ,21.08.24,,"97,96","3,24",16.04.24,124,15.1647,124.0,102.0,102.0,16.04.24 18:39,8.58
36,ru000a100xp4 ,мособл2019 ,4.39,61,87903,rub,250.0,sur,96.6,"96,59","96,73","96,6",15.36,,- ,- ,08.10.24,,"96,6","0,34",16.04.24,172,15.3585,172.0,74.0,74.0,16.04.24 18:39,7.02
37,ru000a100pp0 ,белоб34012 ,4.86,43,76434,rub,250.0,sur,97.99,"97,81","98,2","98,16",14.88,,- ,- ,05.08.24,,"98,16","3,79",16.04.24,108,15.5433,108.0,12.0,12.0,16.04.24 18:39,7.78
