,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,вмененная_ruonia,вмененная_инфляция,bei,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
33,su29008rmfs8 ,офз 29008 ,82.22,229,4773538,rub,1000.0,sur,104.729,"104,656","104,763","104,749",15.75,,- ,- ,03.10.29,,"104,729",2.71,16.04.24,1399,"12,57",- ,- ,15.7602,1399.0,226.0,224.0,16.04.24 18:39,16.44
34,su26235rmfs0 ,офз 26235 ,29.42,419,4289507,rub,1000.0,sur,68.131,"67,95","68,267","68,267",13.42,,- ,- ,12.03.31,,"68,136",4.36,16.04.24,1987,- ,- ,- ,13.4636,1986.0,-2.0,4.0,16.04.24 18:39,5.88
35,su29010rmfs4 ,офз 29010 ,65.77,216,3408646,rub,1000.0,sur,104.72,"104,601","104,798","104,69",12.76,,- ,- ,06.12.34,,"104,682",42.64,16.04.24,2144,"12,4",- ,- ,01.12.68,2144.0,-84.0,-62.0,16.04.24 18:39,13.15
36,su26219rmfs4 ,офз 26219 ,38.64,497,3315849,rub,1000.0,sur,89.28,"89,2","89,405","89,353",13.44,,- ,- ,16.09.26,,"89,288",5.73,16.04.24,812,- ,- ,- ,13.4836,812.0,-46.0,-50.0,16.04.24 18:39,7.73
37,ru000a101rv2 ,казахст07 ,32.66,44,3193301,rub,1000.0,sur,79.34,"79,2","79,44","79,4",14.91,,- ,- ,15.09.27,,"79,4",4.85,16.04.24,1114,- ,- ,- ,14.9399,1113.0,127.0,123.0,16.04.24 18:39,6.53
38,su52004rmfs7 ,офз 52004 ,15.81,43,3181559,rub,1262.91,sur,81.532,"81,231","81,55","81,526",5.47,,- ,- ,17.03.32,,"81,48",1.73,16.04.24,2603,- ,"7,56",- ,01.05.88,2603.0,-797.0,-794.0,16.04.24 18:39,2.5
39,su52002rmfs1 ,офз 52002 ,18.5,132,2966144,rub,1477.52,sur,88.685,"88,582","88,9","88,888",5.89,,- ,- ,02.02.28,,"88,697",6.98,16.04.24,1320,- ,"7,22","7,09",01.05.22,1320.0,-764.0,-767.0,16.04.24 18:39,2.5
40,ru000a100d89 ,беларусь07 ,42.38,258,2800296,rub,1000.0,sur,92.82,"92,47","92,98","92,78",16.99,,- ,- ,01.05.25,,"92,78",38.66,16.04.24,355,- ,- ,- ,16.9414,355.0,268.0,266.0,16.04.24 18:39,8.48
43,su26239rmfs2 ,офз 26239 ,34.41,247,2540544,rub,1000.0,sur,71.504,"71,281","71,616","71,598",13.49,,- ,- ,23.07.31,,"71,545",14.37,16.04.24,1978,- ,- ,- ,13.5193,1977.0,4.0,10.0,16.04.24 18:39,6.88
44,su52003rmfs9 ,офз 52003 ,16.82,89,2147309,rub,1343.34,sur,84.196,"84,149","84,437","84,316",5.57,,- ,- ,17.07.30,,"84,149",7.64,16.04.24,2096,- ,"7,41",- ,01.05.92,2096.0,-781.0,-781.0,16.04.24 18:39,2.5
47,su29009rmfs6 ,офз 29009 ,57.84,183,1432406,rub,1000.0,sur,104.632,"104,461","104,699","104,536",11.03,,- ,- ,05.05.32,,"104,607",48.62,16.04.24,1920,"12,5",- ,- ,31.10.13,1920.0,-246.0,-236.0,16.04.24 18:39,11.57
50,ru000a101rz3 ,казахст11 ,34.9,156,1025831,rub,1000.0,sur,70.75,"70,52","70,98","70,71",14.58,,- ,- ,11.09.30,,"70,71",5.18,16.04.24,1816,- ,- ,- ,14.5703,1816.0,114.0,118.0,16.04.24 18:39,6.98
51,su46020rmfs2 ,офз 46020 ,34.41,205,794832,rub,1000.0,sur,66.737,"66,598","67,199","66,894",12.9,,- ,- ,06.02.36,,"66,827",11.72,16.04.24,2550,- ,- ,- ,01.12.41,2548.0,-75.0,-50.0,16.04.24 18:39,6.88
53,su46023rmfs6 ,офз 46023 ,8.14,259,375301,rub,200.0,sur,93.778,"93,635","94,014","93,837",13.25,,- ,- ,23.07.26,,"93,726",3.67,16.04.24,507,- ,- ,- ,13.2975,506.0,-84.0,-95.0,16.04.24 18:39,8.14
54,ru000a101s16 ,казахст13 ,39.49,91,278903,rub,1000.0,sur,72.25,"71,7","73,09","72,45",14.66,,- ,- ,16.06.31,,"72,45",24.52,16.04.24,1866,- ,- ,- ,14.7159,1865.0,120.0,126.0,16.04.24 18:39,7.9
57,ru000a101rt6 ,казахст05 ,37.3,33,111302,rub,1000.0,sur,88.34,"87,67",89,"87,95",14.57,,- ,- ,22.06.26,,"87,95",23.16,16.04.24,727,- ,- ,- ,14.32,727.0,59.0,54.0,16.04.24 18:39,7.46
59,ru000a101rw0 ,казахст08 ,38.34,34,101674,rub,1000.0,sur,80.06,"79,68","80,33","80,33",14.56,,- ,- ,19.06.28,,"80,32",23.81,16.04.24,1269,- ,- ,- ,14.6709,1268.0,103.0,98.0,16.04.24 18:39,7.67
61,su46012rmfs9 ,офз 46012 ,83.36,26,39445,rub,950.0,sur,98.86,"98,39","99,72","98,981",5.95,,- ,- ,05.09.29,,"98,981",49.47,16.04.24,1414,- ,- ,- ,01.05.08,1413.0,-755.0,-756.0,16.04.24 18:39,17.55
62,ru000a101s08 ,казахст12 ,39.49,13,35140,rub,1000.0,sur,73.21,"73,01","73,69","73,4",14.37,,- ,- ,16.06.31,,"73,4",24.52,16.04.24,1872,- ,- ,- ,14.4301,1870.0,91.0,98.0,16.04.24 18:39,7.9
