,"Ключевая ставка, % годовых","Инфляция, % г/г"
count,139.0,139.0
mean,9.69,7.28
std,4.36,4.13
min,4.25,2.2
25%,7.25,4.05
50%,8.0,6.5
75%,11.0,8.8
max,21.0,17.83
