Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A0JVF98 ,МДС кл.А1 ,"33,35",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,10.05.30,,- ,- ,"23,92",- ,- ,- ,,- ,,,,,
RU000A0JVKH5 ,РЖД-35 обл ,"52,46",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,30.05.40,,- ,- ,"22,48",- ,- ,- ,,- ,,,,,
RU000A0JVLA8 ,МДС кл.А2 ,"32,09",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,19.06.30,,- ,106,"23,02",- ,- ,- ,,- ,,,,,
RU000A0JVM32 ,ПЕРЕСВЕТБ3 ,"92,72",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,21.06.35,,- ,"39,99","42,7",- ,- ,- ,01.09.25,- ,,,,,
RU000A0JVP39 ,КАМАЗ 12 ,"56,05",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,18.07.30,,- ,- ,"12,93",- ,- ,- ,,- ,,,,,
RU000A0JVRL2 ,ПЕРЕСВ БП1 ,"91,55",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,15.08.35,,- ,39,"40,8",- ,- ,- ,15.12.22,- ,,,,,
RU000A0JVT43 ,РОССИУМ 01 ,"113,44",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,15.09.25,,- ,"139,19","106,58",- ,- ,- ,17.04.25,- ,,,,,
RU000A0JVUK8 ,СистемБ1P1 ,"52,36",65,825459,RUB,1000,SUR,"99,69","99,27","100,01",100,"10,06",,- ,"10,0578",30.09.25,,- ,100,"44,88",- ,- ,- ,04.09.25,24,15.4424,25,-570,-572,04.09.25 18:49
RU000A0JVUN2 ,ВымпелКБО2 ,"49,86",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,03.10.25,,- ,- ,"41,92",- ,- ,- ,,- ,,,,,
RU000A0JVUP7 ,ВымпелКБО3 ,"49,86",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,03.10.25,,- ,"100,99","41,92",- ,- ,- ,03.09.25,- ,,,,,
