,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,вмененная_ruonia,вмененная_инфляция,bei,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
25,su26228rmfs5 ,офз 26228 ,38.15,536,53936899,rub,1000.0,sur,78.287,"78,047","78,452","78,298",13.38,,- ,- ,10.04.30,,"78,125",36.47,09.04.24,1658,- ,- ,- ,13.3872,1658.0,12.0,17.0,09.04.24 18:39,7.63
26,su26229rmfs3 ,офз 26229 ,35.65,547,53222204,rub,1000.0,sur,91.234,"91,202","91,348","91,3",13.83,,- ,- ,12.11.25,,"91,23",28.6,09.04.24,541,- ,- ,- ,13.8882,541.0,-29.0,-33.0,09.04.24 18:39,7.13
28,su26212rmfs9 ,офз 26212 ,35.15,580,46977152,rub,1000.0,sur,82.933,"82,812","83,327","83,005",13.27,,- ,- ,19.01.28,,"83,007",14.68,09.04.24,1197,- ,- ,- ,13.3035,1197.0,-8.0,-13.0,09.04.24 18:39,7.03
29,ru000a102ck5 ,rus-27 eur ,1125.0,1,44248719,eur,100000.0,sur,88.3,"88,3","88,3","88,3",4.72,,- ,- ,20.11.27,,"88,3",43436.9082,09.04.24,1292,- ,- ,- ,01.04.98,1292.0,-861.0,-862.0,09.04.24 18:39,2.25
30,su52002rmfs1 ,офз 52002 ,18.5,127,43863921,rub,1474.59,sur,89.405,"89,103","89,538","89,5",5.67,,- ,- ,02.02.28,,"89,393",6.26,09.04.24,1327,- ,"7,22","7,22",01.05.13,1327.0,-762.0,-765.0,09.04.24 18:39,2.51
31,su26242rmfs6 ,офз 26242 ,44.88,820,39672542,rub,1000.0,sur,84.874,"84,76","85,015","84,834",13.42,,- ,- ,29.08.29,,"84,87",8.38,09.04.24,1549,- ,- ,- ,13.4064,1549.0,15.0,18.0,09.04.24 18:39,8.98
32,su26225rmfs1 ,офз 26225 ,36.15,1615,31740728,rub,1000.0,sur,67.874,"67,646","68,269","67,798",13.51,,- ,- ,10.05.34,,"67,869",27.61,09.04.24,2331,- ,- ,- ,13.4957,2332.0,7.0,29.0,09.04.24 18:39,7.23
33,ru000a1006s9 ,rus-35 ,5100.0,1,18884672,usd,200000.0,sur,101.495,"101,99","101,99","101,99",4.85,,- ,- ,28.03.35,,101,28854.7203,09.04.24,3120,- ,- ,- ,01.04.08,3118.0,-868.0,-850.0,09.04.24 18:39,5.1
34,ru000a0jxts9 ,rus-27 ,4250.0,1,18608781,usd,200000.0,sur,100.5,"100,5","100,5","100,5",4.06,,- ,- ,23.06.27,,"100,5",231709.8752,09.04.24,1092,- ,- ,- ,01.04.41,1092.0,-937.0,-940.0,09.04.24 18:39,4.25
35,ru000a0zyyn4 ,rus-29 ,4375.0,1,18516200,usd,200000.0,sur,100.995,100,100,100,4.36,,- ,- ,21.03.29,,"101,99",40504.1875,09.04.24,1639,- ,- ,- ,01.04.37,1640.0,-887.0,-886.0,09.04.24 18:39,4.38
36,su26236rmfs8 ,офз 26236 ,28.42,278,15601588,rub,1000.0,sur,77.496,"77,432","77,693","77,599",13.31,,- ,- ,17.05.28,,"77,53",21.71,09.04.24,1297,- ,- ,- ,13.3514,1297.0,0.0,-3.0,09.04.24 18:39,5.68
37,su26218rmfs6 ,офз 26218 ,42.38,1011,13564887,rub,1000.0,sur,78.674,"78,501","78,849","78,727",13.48,,- ,- ,17.09.31,,"78,626",3.03,09.04.24,1964,- ,- ,- ,13.492,1963.0,17.0,28.0,09.04.24 18:39,8.48
38,su29009rmfs6 ,офз 29009 ,57.84,198,12455194,rub,1000.0,sur,104.507,"103,955","105,485","104,443",11.05,,- ,- ,05.05.32,,"104,496",46.4,09.04.24,1926,"12,34",- ,- ,31.10.59,1927.0,-229.0,-215.0,09.04.24 18:39,11.57
39,su26237rmfs6 ,офз 26237 ,33.41,320,10423951,rub,1000.0,sur,77.704,"77,544","78,051","77,824",13.34,,- ,- ,14.03.29,,"77,747",3.67,09.04.24,1516,- ,- ,- ,13.3791,1515.0,7.0,9.0,09.04.24 18:39,6.68
40,ru000a0zzve6 ,rus-25 eur ,2875.0,1,10022360,eur,100000.0,sur,99.925,100,100,100,2.87,,- ,- ,04.12.25,,"99,925",99984.0656,09.04.24,592,- ,- ,- ,01.02.31,592.0,-1121.0,-1122.0,09.04.24 18:39,5.75
42,su26224rmfs4 ,офз 26224 ,34.41,336,6881202,rub,1000.0,sur,77.903,"77,706","78,167","77,983",13.32,,- ,- ,23.05.29,,"77,793",24.96,09.04.24,1516,- ,- ,- ,13.3471,1515.0,6.0,7.0,09.04.24 18:39,6.88
44,su26239rmfs2 ,офз 26239 ,34.41,371,6176725,rub,1000.0,sur,71.647,"71,599","71,844","71,683",13.46,,- ,- ,23.07.31,,"71,6",13.05,09.04.24,1985,- ,- ,- ,13.4657,1985.0,15.0,26.0,09.04.24 18:39,6.88
46,su29008rmfs8 ,офз 29008 ,51.31,265,5166749,rub,1000.0,sur,104.59,"104,406","105,3","104,676",15.78,,- ,- ,03.10.29,,"104,631",51.03,09.04.24,1405,"12,33",- ,- ,15.8063,1405.0,247.0,250.0,09.04.24 18:39,10.26
47,ru000a100d89 ,беларусь07 ,42.38,280,4761658,rub,1000.0,sur,92.46,"92,37","92,58","92,49",17.19,,- ,- ,01.05.25,,"92,4",37.03,09.04.24,362,- ,- ,- ,17.2266,362.0,276.0,273.0,09.04.24 18:39,8.48
49,su29010rmfs4 ,офз 29010 ,65.77,164,2300729,rub,1000.0,sur,104.626,"104,552","104,899","104,565",12.78,,- ,- ,06.12.34,,"104,694",40.11,09.04.24,2150,"12,23",- ,- ,01.12.37,2151.0,-68.0,-42.0,09.04.24 18:39,13.15
51,su52003rmfs9 ,офз 52003 ,16.82,35,1771693,rub,1340.68,sur,84.904,"84,798","85,117","85,116",5.39,,- ,- ,17.07.30,,"84,967",6.98,09.04.24,2104,- ,"7,43",- ,01.05.81,2104.0,-782.0,-781.0,09.04.24 18:39,2.51
52,su52005rmfs4 ,офз 52005 ,13.56,72,1246262,rub,1081.28,sur,80.633,"80,499","80,8","80,57",5.28,,- ,- ,11.05.33,,"80,5",10.29,09.04.24,2908,- ,"7,69",- ,30.04.68,2908.0,-809.0,-803.0,09.04.24 18:39,2.51
53,ru000a101rv2 ,казахст07 ,32.66,64,1155999,rub,1000.0,sur,78.96,"78,69","79,16",79,15.06,,- ,- ,15.09.27,,79,3.59,09.04.24,1120,- ,- ,- ,15.0775,1120.0,164.0,160.0,09.04.24 18:39,6.53
54,su46020rmfs2 ,офз 46020 ,34.41,215,1108158,rub,1000.0,sur,66.757,"66,506","67,089","66,759",12.92,,- ,- ,06.02.36,,"66,737",10.4,09.04.24,2555,- ,- ,- ,01.12.31,2555.0,-59.0,-32.0,09.04.24 18:39,6.88
56,ru000a101rz3 ,казахст11 ,34.9,178,866254,rub,1000.0,sur,70.77,"70,71","71,07","70,72",14.56,,- ,- ,11.09.30,,"70,72",3.84,09.04.24,1823,- ,- ,- ,14.5472,1823.0,129.0,136.0,09.04.24 18:39,6.98
57,su52004rmfs7 ,офз 52004 ,15.81,31,475822,rub,1260.41,sur,82.946,"82,774","82,954","82,899",5.22,,- ,- ,17.03.32,,"82,9",1.12,09.04.24,2613,- ,"7,68",- ,01.05.94,2613.0,-807.0,-804.0,09.04.24 18:39,2.51
60,ru000a101s16 ,казахст13 ,39.49,52,400460,rub,1000.0,sur,72.42,"71,8","73,69","72,91",14.51,,- ,- ,16.06.31,,"73,04",23.0,09.04.24,1876,- ,- ,- ,14.6517,1873.0,120.0,131.0,09.04.24 18:39,7.9
61,su46023rmfs6 ,офз 46023 ,8.14,275,394138,rub,200.0,sur,93.708,"93,207","94,034","93,778",13.24,,- ,- ,23.07.26,,"93,747",3.35,09.04.24,514,- ,- ,- ,13.2943,513.0,-77.0,-97.0,09.04.24 18:39,8.14
63,ru000a101rt6 ,казахст05 ,37.3,37,103152,rub,1000.0,sur,87.42,"87,21","87,74","87,39",14.86,,- ,- ,22.06.26,,"87,39",21.72,09.04.24,734,- ,- ,- ,14.8455,734.0,104.0,98.0,09.04.24 18:39,7.46
64,ru000a101s08 ,казахст12 ,39.49,22,68428,rub,1000.0,sur,73.58,"73,23","73,77","73,6",14.3,,- ,- ,16.06.31,,"73,6",23.0,09.04.24,1880,- ,- ,- ,14.3088,1880.0,100.0,111.0,09.04.24 18:39,7.9
67,su46012rmfs9 ,офз 46012 ,83.36,20,50530,rub,950.0,sur,98.499,"96,798","99,953","97,976",6.23,,- ,- ,05.09.29,,"97,549",47.86,09.04.24,1418,- ,- ,- ,01.06.97,1419.0,-708.0,-705.0,09.04.24 18:39,17.55
68,ru000a101rw0 ,казахст08 ,38.34,12,30528,rub,1000.0,sur,80.34,"80,15","80,49","80,41",14.5,,- ,- ,19.06.28,,"80,39",22.33,09.04.24,1276,- ,- ,- ,14.5324,1276.0,119.0,116.0,09.04.24 18:39,7.67
