,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
56,ru000a102dq0 ,свердлоб10 ,5.78,20,36900,rub,400.0,sur,95.1,"94,75","96,3","94,98","15,08",,- ,- ,23.11.24,,"94,98",2.86,05.04.24,224,14.8437,224.0,49.0,48.0,05.04.24 18:39,5.78%
57,ru000a0zzsw4 ,камчкрай01 ,9.03,16,32278,rub,400.0,sur,97.22,"96,89","97,43","97,25","14,69",,- ,- ,11.11.24,,"97,25",5.26,05.04.24,210,14.7485,210.0,8.0,7.0,05.04.24 18:39,9.03%
58,ru000a0zzem5 ,яробл35016 ,10.9,22,31464,rub,550.0,sur,93.78,"93,53","94,02",94,"15,37",,- ,- ,21.09.25,,"93,83",1.44,05.04.24,348,15.6559,347.0,108.0,97.0,05.04.24 18:39,7.927272727272728%
59,ru000a1020l5 ,самаробл15 ,10.12,21,29788,rub,700.0,sur,90.54,"89,6","91,71",91,"13,98",,- ,- ,04.08.26,,"90,86",6.56,05.04.24,457,14.4421,456.0,-1.0,-23.0,05.04.24 18:39,5.782857142857142%
60,ru000a1043k9 ,нижгороб16 ,23.06,15,27817,rub,1000.0,sur,89.73,"89,61","90,09","89,79","14,86",,- ,- ,26.05.27,,"89,78",11.4,05.04.24,817,14.8897,817.0,126.0,117.0,05.04.24 18:39,9.223999999999998%
61,ru000a102g35 ,мособ35016 ,11.13,18,27654,rub,750.0,sur,89.93,"89,49","90,2","90,2","14,91",,- ,- ,30.11.27,,"90,2",3.79,05.04.24,451,15.1922,450.0,112.0,69.0,05.04.24 18:39,5.936%
62,ru000a0zzut6 ,нижгороб13 ,4.71,26,27487,rub,200.0,sur,99.59,"99,25","100,53","99,49","13,36",,- ,"12,6405",24.05.24,,"99,49",2.38,05.04.24,45,01.12.23,46.0,-151.0,-152.0,05.04.24 18:39,9.42%
63,ru000a100pr6 ,яробл35017 ,7.93,12,23841,rub,400.0,sur,96.13,"95,8","96,26","96,26","14,94",,- ,- ,24.06.25,,"96,26",0.87,05.04.24,227,15.1869,227.0,49.0,35.0,05.04.24 18:39,7.93%
64,ru000a0jxud9 ,коми 14 об ,11.28,15,23782,rub,500.0,sur,99.09,"98,81","99,36","99,2","12,79",,- ,"12,1894",25.06.24,,"99,2",1.96,05.04.24,77,13.3717,77.0,-203.0,-203.0,05.04.24 18:39,9.024000000000001%
65,ru000a0zykw4 ,хмао 11 ,1.89,51,22606,rub,100.0,sur,97.02,"96,76","97,69","96,81","13,03",,- ,- ,17.12.24,,"96,81",0.35,05.04.24,247,01.12.51,247.0,-152.0,-153.0,05.04.24 18:39,7.5600000000000005%
66,ru000a101wd0 ,яробл35018 ,5.98,17,19768,rub,400.0,sur,86.7,"86,34","86,98","86,34","14,68",,- ,- ,24.05.26,,"86,39",2.63,05.04.24,684,14.4279,684.0,86.0,82.0,05.04.24 18:39,5.98%
67,ru000a1016n9 ,свердлобл6 ,12.53,10,18208,rub,750.0,sur,89.92,"89,21","90,73","89,89","14,44",,- ,- ,15.12.26,,"89,89",3.3,05.04.24,557,14.4119,557.0,58.0,38.0,05.04.24 18:39,6.682666666666666%
68,ru000a0jxs83 ,яробл 2017 ,18.32,9,16893,rub,875.0,sur,91.94,"91,42","92,11","92,05","14,86",,- ,- ,20.04.27,,"92,03",14.7,05.04.24,527,14.9486,526.0,103.0,76.0,05.04.24 18:39,8.374857142857143%
69,ru000a101p27 ,якут-35014 ,9.71,3,16191,rub,600.0,sur,87.05,"87,02","87,83","87,02","14,33",,- ,- ,12.05.27,,"87,02",2.24,05.04.24,713,14.308,713.0,70.0,51.0,05.04.24 18:39,6.473333333333334%
70,ru000a102kn2 ,калинобл20 ,12.93,7,15904,rub,850.0,sur,89.1,"89,09","89,19","89,1","12,9",,- ,- ,16.06.27,,"89,09",2.27,05.04.24,676,01.12.43,676.0,-72.0,-97.0,05.04.24 18:39,6.084705882352941%
71,ru000a102fv5 ,челяб35001 ,11.97,12,14377,rub,800.0,sur,89.85,"88,2","91,93","88,2","13,89",,- ,- ,30.11.27,,"88,2",4.08,05.04.24,628,01.12.29,633.0,22.0,-5.0,05.04.24 18:39,5.985%
72,ru000a102ct6 ,свердлобл9 ,12.47,4,11772,rub,800.0,sur,86.56,"86,54","86,56","86,56","14,78",,- ,- ,17.11.27,,"86,56",6.99,05.04.24,670,14.7763,670.0,111.0,89.0,05.04.24 18:39,6.235%
73,ru000a0zznj2 ,якут-11 об ,8.93,12,11492,rub,400.0,sur,95.76,"95,58","95,9","95,83","14,71",,- ,- ,24.09.25,,"95,83",3.83,05.04.24,313,14.802,313.0,41.0,25.0,05.04.24 18:39,8.93%
74,ru000a0jxvh8 ,тамбовобл3 ,5.24,11,11084,rub,250.0,sur,98.52,"98,4","98,7","98,7","14,27",,- ,- ,12.07.24,,"98,59",4.83,05.04.24,93,15.0792,93.0,-51.0,-52.0,05.04.24 18:39,8.384%
75,ru000a0zzqq0 ,хабаркрай7 ,13.46,10,10744,rub,600.0,sur,94.25,"94,17","94,36","94,36","15,01",,- ,- ,24.10.25,,"94,36",11.39,05.04.24,405,15.1265,405.0,85.0,71.0,05.04.24 18:39,8.973333333333334%
76,ru000a1010d3 ,якут-13 об ,12.13,9,9496,rub,700.0,sur,90.44,"90,17","90,5","90,5","14,56",,- ,- ,02.11.26,,"90,5",8.0,05.04.24,527,14.6146,527.0,71.0,46.0,05.04.24 18:39,6.9314285714285715%
77,ru000a1030t7 ,мгор73-об ,35.9,8,9235,rub,1000.0,sur,92.35,"91,99","92,82","91,99","12,08",,- ,- ,21.04.26,,"91,99",32.35,05.04.24,678,01.11.03,678.0,-173.0,-179.0,05.04.24 18:39,14.360000000000001%
78,ru000a0zzc48 ,красяркр15 ,3.77,10,7941,rub,200.0,sur,99.27,"98,62","100,47",99,"9,18",,- ,- ,26.06.25,,99,0.13,05.04.24,299,01.08.33,299.0,-518.0,-529.0,05.04.24 18:39,7.539999999999999%
79,ru000a0jwt91 ,удмурт2016 ,26.3,8,7630,rub,1000.0,sur,95.38,"95,08","95,72","95,44","13,93",,- ,- ,19.09.26,,"95,44",3.76,05.04.24,642,13.9712,642.0,10.0,1.0,05.04.24 18:39,10.52%
80,ru000a0zyb40 ,мфкузбас17 ,5.11,6,5383,rub,250.0,sur,97.88,"97,58","97,99","97,99","13,29",,- ,- ,26.09.24,,"97,95",0.95,05.04.24,168,13.5615,168.0,-139.0,-139.0,05.04.24 18:39,8.176%
81,ru000a1025f6 ,белоб34016 ,4.83,8,5275,rub,340.0,sur,96.97,"96,74","97,08","97,05","13,94",,- ,- ,18.09.25,,"97,05",0.8,05.04.24,144,14.1769,144.0,-47.0,-77.0,05.04.24 18:39,5.68235294117647%
82,ru000a102k88 ,спбго35004 ,29.42,3,4963,rub,1000.0,sur,99.26,"99,22","99,27","99,26","6,24",,- ,- ,28.09.28,,"99,27",0.16,05.04.24,1140,01.06.88,1140.0,-713.0,-714.0,05.04.24 18:39,11.768%
83,ru000a0zykj1 ,спбго35002 ,19.07,8,4835,rub,500.0,sur,87.91,"87,75",88,"87,8","14,98",,- ,- ,04.12.26,,"87,8",12.47,05.04.24,710,14.9116,710.0,124.0,116.0,05.04.24 18:39,15.256%
84,ru000a0zzqh9 ,свердлобл5 ,4.33,10,2622,rub,200.0,sur,93.65,"92,75","94,02","93,97","14,3",,- ,- ,23.10.26,,"93,97",0.86,05.04.24,467,14.5995,466.0,32.0,10.0,05.04.24 18:39,8.66%
85,ru000a102598 ,липецкоб12 ,5.73,3,1861,rub,400.0,sur,93.07,"92,66","93,7","92,66","15,15",,- ,- ,16.09.25,,"92,66",1.07,05.04.24,326,14.5888,326.0,89.0,72.0,05.04.24 18:39,5.73%
86,ru000a100y84 ,белоб34013 ,4.36,5,1733,rub,250.0,sur,99.03,"98,78","100,47","98,78","9,76",,- ,- ,15.10.24,,"98,78",3.84,05.04.24,185,01.09.22,185.0,-489.0,-490.0,05.04.24 18:39,6.976%
87,ru000a0zzr33 ,липецкоб10 ,6.41,4,1419,rub,300.0,sur,94.6,"94,32","94,68","94,32","15,48",,- ,- ,21.10.25,,"94,32",5.14,05.04.24,351,15.1304,351.0,125.0,109.0,05.04.24 18:39,8.546666666666667%
88,ru000a101rb4 ,белоб34015 ,10.41,2,1352,rub,720.0,sur,93.88,"93,84","93,91","93,84","15,53",,- ,- ,29.05.25,,"93,84",4.12,05.04.24,262,15.4587,263.0,114.0,99.0,05.04.24 18:39,5.783333333333333%
89,ru000a1013t3 ,липецкоб11 ,3.29,2,1352,rub,200.0,sur,96.54,"96,5","96,76","96,76","12,63",,- ,- ,21.11.24,,"96,76",1.56,05.04.24,222,13.0524,222.0,-196.0,-196.0,05.04.24 18:39,6.58%
90,ru000a0zykh5 ,оренб35004 ,20.39,1,924,rub,1000.0,sur,92.38,"92,38","92,38","92,38","12,28",,- ,- ,02.12.27,,"92,38",6.5,05.04.24,817,01.12.45,817.0,-132.0,-141.0,05.04.24 18:39,8.156%
91,ru000a0zymj7 ,томскоб 62 ,4.67,2,490,rub,250.0,sur,98.0,"97,99","98,01","97,99","10,93",,- ,- ,19.12.24,,"97,99",0.77,05.04.24,249,01.10.16,249.0,-362.0,-362.0,05.04.24 18:39,7.4719999999999995%
92,ru000a100pp0 ,белоб34012 ,4.86,1,246,rub,250.0,sur,98.39,"98,39","98,39","98,39","13,53",,- ,- ,05.08.24,,"98,39",3.21,05.04.24,117,13.5286,117.0,-122.0,-122.0,05.04.24 18:39,7.776000000000001%
