Название;Цена покупки %;Кол-во;Номинал;Купон(руб.);Число выплат в год
Новосиб 23;97.41;150;1000;31.79;4
РусГид2РО7;100.62;147;1000;11.38;12
РЖД 1P-45R;100.92;115;1000;11.38;12
МгдОбл2023;100.31;110;1000;34.28;4
ЛСР БО 1Р9;88.81;116;1000;12.12;12
НОВАТЭК1Р1;93.89;102;1000;22.69;4
Томскобл25;101.27;93;1000;15;12
Ульоб34008;94.82;82;1000;39.89;4
Россет1Р17;100.38;42;1000;13.15;12
