,Метрика,Цена покупки %,Купон(руб.),Кол-во,Номинал,Число выплат в год
0,Средние значения,97.56625,28.1275,120.875,1000.0,6.75
1,Медиана,98.985,27.240000000000002,106.0,1000.0,4.0
